Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 20:27:24:136,215,0,1,2,56280,92568,63208,-67,-225,972
05.10.2024 20:27:24:139,216,0,1,2,56290,92577,63209,-70,-223,967
05.10.2024 20:27:24:143,217,0,1,2,56295,92572,63210,-67,-221,966
05.10.2024 20:27:24:147,218,0,1,2,56293,92572,63207,-68,-227,969
05.10.2024 20:27:24:151,219,0,1,2,56295,92566,63210,-66,-232,969
05.10.2024 20:27:24:155,220,0,1,2,56295,92565,63205,-69,-232,973
05.10.2024 20:27:24:159,221,0,1,2,56294,92570,63206,-64,-229,973
05.10.2024 20:27:24:163,222,0,1,2,56300,92569,63206,-67,-231,972
05.10.2024 20:27:24:167,223,0,1,2,56293,92564,63206,-66,-231,971
05.10.2024 20:27:24:171,224,0,1,2,56309,92565,63201,-68,-232,968
05.10.2024 20:27:24:175,225,0,1,2,56312,92570,63208,-69,-228,968
05.10.2024 20:27:24:178,226,0,1,2,56315,92562,63206,-69,-229,967
05.10.2024 20:27:24:182,227,0,1,2,56324,92565,63205,-63,-231,968
05.10.2024 20:27:24:186,228,0,1,2,56318,92562,63204,-69,-233,966
05.10.2024 20:27:24:190,229,0,1,2,56328,92568,63202,-73,-228,970
05.10.2024 20:27:24:194,230,0,1,2,56326,92566,63205,-65,-231,967
05.10.2024 20:27:24:198,231,0,1,2,56327,92562,63211,-71,-229,971
05.10.2024 20:27:24:202,232,0,1,2,56328,92565,63206,-65,-233,973
05.10.2024 20:27:24:206,233,0,1,2,56326,92567,63211,-76,-224,966
05.10.2024 20:27:24:210,234,0,1,2,56333,92563,63213,-71,-225,969
05.10.2024 20:27:24:214,235,0,1,2,56335,92562,63209,-66,-228,969
05.10.2024 20:27:24:218,236,0,1,2,56339,92562,63206,-74,-226,968
05.10.2024 20:27:24:221,237,0,1,2,56343,92560,63206,-68,-227,963
05.10.2024 20:27:24:225,238,0,1,2,56342,92561,63203,-70,-226,974
05.10.2024 20:27:24:229,239,0,1,2,56351,92561,63204,-70,-231,970
05.10.2024 20:27:24:233,240,0,1,2,56351,92552,63205,-71,-237,968
05.10.2024 20:27:24:237,241,0,1,2,56350,92559,63204,-74,-237,970
05.10.2024 20:27:24:241,242,0,1,2,56352,92553,63202,-68,-238,972
05.10.2024 20:27:24:245,243,0,1,2,56352,92555,63202,-69,-238,967
05.10.2024 20:27:24:249,244,0,1,2,56354,92553,63202,-68,-232,969
