Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],Temperature[C]
12.10.2024 12:07:39:818,32.185
12.10.2024 12:07:39:916,32.17
12.10.2024 12:07:40:13,32.17
12.10.2024 12:07:40:110,32.175
12.10.2024 12:07:40:208,32.18
12.10.2024 12:07:40:305,32.17
12.10.2024 12:07:40:402,32.185
12.10.2024 12:07:40:500,32.18
12.10.2024 12:07:40:597,32.195
12.10.2024 12:07:40:694,32.175
12.10.2024 12:07:40:792,32.185
12.10.2024 12:07:40:889,32.185
12.10.2024 12:07:40:986,32.195
12.10.2024 12:07:41:84,32.19
12.10.2024 12:07:41:181,32.185
12.10.2024 12:07:41:278,32.185
12.10.2024 12:07:41:376,32.185
12.10.2024 12:07:41:473,32.185
12.10.2024 12:07:41:570,32.185
12.10.2024 12:07:41:668,32.19
12.10.2024 12:07:41:765,32.185
12.10.2024 12:07:41:862,32.195
12.10.2024 12:07:41:960,32.18
12.10.2024 12:07:42:57,32.17
12.10.2024 12:07:42:154,32.195
12.10.2024 12:07:42:252,32.18
12.10.2024 12:07:42:349,32.18
12.10.2024 12:07:42:446,32.205
12.10.2024 12:07:42:543,32.19
12.10.2024 12:07:42:641,32.185
12.10.2024 12:07:42:738,32.19
12.10.2024 12:07:42:835,32.2
12.10.2024 12:07:42:933,32.205
12.10.2024 12:07:43:30,32.18
12.10.2024 12:07:43:127,32.175
12.10.2024 12:07:43:225,32.185
12.10.2024 12:07:43:322,32.19
12.10.2024 12:07:43:419,32.19
12.10.2024 12:07:43:517,32.19
12.10.2024 12:07:43:614,32.2
12.10.2024 12:07:43:711,32.195
12.10.2024 12:07:43:809,32.185
12.10.2024 12:07:43:906,32.18
12.10.2024 12:07:44:3,32.19
12.10.2024 12:07:44:101,32.195
12.10.2024 12:07:44:198,32.19
12.10.2024 12:07:44:295,32.19
12.10.2024 12:07:44:393,32.19
12.10.2024 12:07:44:490,32.21
12.10.2024 12:07:44:587,32.205
12.10.2024 12:07:44:685,32.2
12.10.2024 12:07:44:782,32.215
12.10.2024 12:07:44:879,32.2
12.10.2024 12:07:44:977,32.19
12.10.2024 12:07:45:74,32.195
12.10.2024 12:07:45:171,32.18
12.10.2024 12:07:45:269,32.19
12.10.2024 12:07:45:366,32.185
12.10.2024 12:07:45:463,32.19
12.10.2024 12:07:45:561,32.21
12.10.2024 12:07:45:658,32.205
12.10.2024 12:07:45:755,32.2
12.10.2024 12:07:45:853,32.195
12.10.2024 12:07:45:950,32.19
12.10.2024 12:07:46:47,32.205
12.10.2024 12:07:46:145,32.19
12.10.2024 12:07:46:242,32.22
12.10.2024 12:07:46:339,32.195
12.10.2024 12:07:46:437,32.205
12.10.2024 12:07:46:534,32.195
12.10.2024 12:07:46:631,32.195
12.10.2024 12:07:46:729,32.2
12.10.2024 12:07:46:826,32.185
12.10.2024 12:07:46:923,32.2
12.10.2024 12:07:47:21,32.195
12.10.2024 12:07:47:118,32.19
12.10.2024 12:07:47:215,32.2
12.10.2024 12:07:47:312,32.21
12.10.2024 12:07:47:410,32.21
12.10.2024 12:07:47:507,32.19
12.10.2024 12:07:47:604,32.205
12.10.2024 12:07:47:702,32.205
12.10.2024 12:07:47:799,32.21
12.10.2024 12:07:47:896,32.205
12.10.2024 12:07:47:994,32.205
12.10.2024 12:07:48:91,32.205
12.10.2024 12:07:48:188,32.22
12.10.2024 12:07:48:286,32.22
12.10.2024 12:07:48:383,32.215
12.10.2024 12:07:48:480,32.2
12.10.2024 12:07:48:578,32.2
12.10.2024 12:07:48:675,32.215
12.10.2024 12:07:48:772,32.21
12.10.2024 12:07:48:870,32.2
12.10.2024 12:07:48:967,32.21
12.10.2024 12:07:49:64,32.195
12.10.2024 12:07:49:162,32.215
12.10.2024 12:07:49:259,32.215
12.10.2024 12:07:49:356,32.21
12.10.2024 12:07:49:454,32.225
12.10.2024 12:07:49:551,32.21
12.10.2024 12:07:49:648,32.21
12.10.2024 12:07:49:746,32.215
12.10.2024 12:07:49:843,32.2
12.10.2024 12:07:49:940,32.21
12.10.2024 12:07:50:38,32.2
12.10.2024 12:07:50:135,32.22
12.10.2024 12:07:50:232,32.21
12.10.2024 12:07:50:330,32.21
12.10.2024 12:07:50:427,32.215
12.10.2024 12:07:50:524,32.22
12.10.2024 12:07:50:622,32.215
12.10.2024 12:07:50:719,32.205
12.10.2024 12:07:50:816,32.215
12.10.2024 12:07:50:914,32.22
12.10.2024 12:07:51:11,32.21
12.10.2024 12:07:51:108,32.22
12.10.2024 12:07:51:206,32.21
12.10.2024 12:07:51:303,32.205
12.10.2024 12:07:51:400,32.215
12.10.2024 12:07:51:498,32.22
12.10.2024 12:07:51:595,32.205
12.10.2024 12:07:51:692,32.22
12.10.2024 12:07:51:790,32.21
12.10.2024 12:07:51:887,32.215
12.10.2024 12:07:51:984,32.215
12.10.2024 12:07:52:82,32.225
12.10.2024 12:07:52:179,32.215
12.10.2024 12:07:52:276,32.21
12.10.2024 12:07:52:373,32.22
12.10.2024 12:07:52:471,32.225
12.10.2024 12:07:52:568,32.225
12.10.2024 12:07:52:665,32.225
12.10.2024 12:07:52:763,32.215
12.10.2024 12:07:52:860,32.23
12.10.2024 12:07:52:957,32.21
12.10.2024 12:07:53:55,32.235
12.10.2024 12:07:53:152,32.225
