Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
13.10.2024 12:44:26:676,157,0,1,2,28684,58892,5067,17,22,990
13.10.2024 12:44:26:679,158,0,1,2,28682,58894,5067,19,27,992
13.10.2024 12:44:26:682,159,0,1,2,28687,58892,5067,13,25,990
13.10.2024 12:44:26:686,160,0,1,2,28687,58894,5068,18,23,996
13.10.2024 12:44:26:689,161,0,1,2,28683,58895,5066,14,21,995
13.10.2024 12:44:26:692,162,0,1,2,28682,58893,5068,10,19,997
13.10.2024 12:44:26:695,163,0,1,2,28682,58893,5064,19,17,998
13.10.2024 12:44:26:699,164,0,1,2,28681,58893,5066,12,20,998
13.10.2024 12:44:26:702,165,0,1,2,28686,58886,5067,14,22,998
13.10.2024 12:44:26:705,166,0,1,2,28686,58889,5067,21,21,994
13.10.2024 12:44:26:708,167,0,1,2,28681,58891,5066,19,24,1000
13.10.2024 12:44:26:711,168,0,1,2,28683,58893,5066,16,18,994
13.10.2024 12:44:26:715,169,0,1,2,28679,58892,5067,15,19,999
13.10.2024 12:44:26:718,170,0,1,2,28682,58892,5065,14,21,997
13.10.2024 12:44:26:721,171,0,1,2,28682,58893,5068,16,20,991
13.10.2024 12:44:26:724,172,0,1,2,28688,58893,5068,15,20,994
13.10.2024 12:44:26:728,173,0,1,2,28681,58887,5067,21,22,998
13.10.2024 12:44:26:731,174,0,1,2,28680,58887,5067,19,20,996
13.10.2024 12:44:26:734,175,0,1,2,28681,58892,5068,19,23,997
13.10.2024 12:44:26:737,176,0,1,2,28682,58891,5067,19,23,997
13.10.2024 12:44:26:741,177,0,1,2,28682,58890,5067,15,26,993
13.10.2024 12:44:26:744,178,0,1,2,28678,58888,5067,19,28,1001
13.10.2024 12:44:26:747,179,0,1,2,28685,58894,5067,19,20,997
13.10.2024 12:44:26:750,180,0,1,2,28677,58886,5067,18,22,995
13.10.2024 12:44:26:754,181,0,1,2,28680,58891,5066,20,24,996
13.10.2024 12:44:26:757,182,0,1,2,28682,58891,5069,23,27,996
13.10.2024 12:44:26:760,183,0,1,2,28680,58887,5065,20,28,994
13.10.2024 12:44:26:763,184,0,1,2,28685,58890,5067,20,27,998
13.10.2024 12:44:26:767,185,0,1,2,28682,58887,5067,19,26,998
13.10.2024 12:44:26:770,186,0,1,2,28677,58889,5066,16,23,993
13.10.2024 12:44:26:773,187,0,1,2,28681,58887,5067,20,24,995
13.10.2024 12:44:26:776,188,0,1,2,28682,58886,5065,18,28,995
13.10.2024 12:44:26:780,189,0,1,2,28679,58886,5066,17,25,993
13.10.2024 12:44:26:783,190,0,1,2,28678,58887,5068,17,22,1000
13.10.2024 12:44:26:786,191,0,1,2,28684,58889,5069,17,22,1000
13.10.2024 12:44:26:789,192,0,1,2,28684,58886,5068,22,25,995
13.10.2024 12:44:26:793,193,0,1,2,28679,58888,5066,15,21,995
13.10.2024 12:44:26:796,194,0,1,2,28680,58887,5066,19,25,996
13.10.2024 12:44:26:799,195,0,1,2,28678,58881,5068,17,28,997
13.10.2024 12:44:26:802,196,0,1,2,28684,58891,5069,16,24,995
13.10.2024 12:44:26:806,197,0,1,2,28683,58879,5066,13,21,1001
13.10.2024 12:44:26:809,198,0,1,2,28679,58891,5066,16,22,986
13.10.2024 12:44:26:812,199,0,1,2,28680,58881,5065,18,21,999
13.10.2024 12:44:26:815,200,0,1,2,28678,58886,5067,20,21,990
13.10.2024 12:44:26:819,201,0,1,2,28682,58884,5067,16,24,994
13.10.2024 12:44:26:822,202,0,1,2,28677,58884,5064,16,20,996
13.10.2024 12:44:26:825,203,0,1,2,28678,58884,5067,21,18,996
13.10.2024 12:44:26:828,204,0,1,2,28678,58882,5066,16,21,994
13.10.2024 12:44:26:832,205,0,1,2,28677,58883,5067,16,16,998
13.10.2024 12:44:26:835,206,0,1,2,28679,58881,5068,16,16,998
13.10.2024 12:44:26:838,207,0,1,2,28682,58884,5067,17,21,997
13.10.2024 12:44:26:841,208,0,1,2,28675,58882,5067,18,20,995
13.10.2024 12:44:26:844,209,0,1,2,28680,58883,5067,18,19,992
13.10.2024 12:44:26:848,210,0,1,2,28679,58881,5067,19,19,995
13.10.2024 12:44:26:851,211,0,1,2,28681,58887,5069,17,23,990
