Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 13:24:44:778,193,2,0,1,122068,87901,130368,9,-677,738
05.10.2024 13:24:44:782,194,2,0,1,122071,87897,130365,9,-675,743
05.10.2024 13:24:44:786,195,2,0,1,122072,87895,130363,9,-672,742
05.10.2024 13:24:44:790,196,2,0,1,122064,87902,130369,10,-674,737
05.10.2024 13:24:44:794,197,2,0,1,122071,87896,130362,10,-671,737
05.10.2024 13:24:44:798,198,2,0,1,122075,87905,130362,8,-674,737
05.10.2024 13:24:44:802,199,2,0,1,122072,87914,130363,12,-679,736
05.10.2024 13:24:44:805,200,2,0,1,122068,87917,130367,7,-680,738
05.10.2024 13:24:44:809,201,2,0,1,122068,87916,130367,14,-683,737
05.10.2024 13:24:44:813,202,2,0,1,122073,87915,130366,11,-682,737
05.10.2024 13:24:44:817,203,2,0,1,122076,87921,130362,8,-683,734
05.10.2024 13:24:44:821,204,2,0,1,122077,87929,130366,9,-682,738
05.10.2024 13:24:44:825,205,2,0,1,122074,87912,130360,7,-686,739
05.10.2024 13:24:44:829,206,2,0,1,122078,87931,130356,12,-687,738
05.10.2024 13:24:44:833,207,2,0,1,122067,87938,130367,14,-682,734
05.10.2024 13:24:44:837,208,2,0,1,122074,87933,130355,11,-682,739
05.10.2024 13:24:44:841,209,2,0,1,122074,87932,130354,7,-688,739
05.10.2024 13:24:44:844,210,2,0,1,122075,87930,130360,5,-688,736
05.10.2024 13:24:44:848,211,2,0,1,122072,87931,130354,7,-686,741
05.10.2024 13:24:44:852,212,2,0,1,122080,87922,130355,11,-685,737
05.10.2024 13:24:44:856,213,2,0,1,122073,87932,130350,10,-683,736
05.10.2024 13:24:44:860,214,2,0,1,122075,87936,130348,13,-683,734
05.10.2024 13:24:44:864,215,2,0,1,122067,87932,130352,8,-679,737
05.10.2024 13:24:44:868,216,2,0,1,122068,87924,130343,10,-676,742
05.10.2024 13:24:44:872,217,2,0,1,122071,87925,130344,11,-681,739
05.10.2024 13:24:44:876,218,2,0,1,122061,87929,130348,4,-681,737
05.10.2024 13:24:44:880,219,2,0,1,122064,87931,130343,10,-676,733
05.10.2024 13:24:44:883,220,2,0,1,122060,87918,130341,6,-679,737
05.10.2024 13:24:44:887,221,2,0,1,122059,87928,130339,9,-673,732
05.10.2024 13:24:44:891,222,2,0,1,122059,87926,130339,11,-674,737
05.10.2024 13:24:44:895,223,2,0,1,122056,87920,130334,12,-678,741
05.10.2024 13:24:44:899,224,2,0,1,122057,87916,130334,12,-674,738
05.10.2024 13:24:44:903,225,2,0,1,122051,87924,130336,14,-675,738
05.10.2024 13:24:44:907,226,2,0,1,122057,87922,130339,8,-677,742
05.10.2024 13:24:44:911,227,2,0,1,122056,87920,130342,9,-680,739
05.10.2024 13:24:44:915,228,2,0,1,122053,87921,130335,11,-677,741
05.10.2024 13:24:44:919,229,2,0,1,122053,87931,130339,9,-678,738
05.10.2024 13:24:44:922,230,2,0,1,122056,87920,130335,14,-678,737
